City,min,max,mean
Aberdeen,0,293,74.85714285714286
Acme,19,238,80.42857142857143
Addy,0,25,12.5
Airway Heights,0,322,84.69565217391305
Alderdale,0,0,0.0
Algona,0,249,76.58620689655173
Allyn,0,322,74.96666666666667
Amanda Park,0,19,6.333333333333333
Amboy,0,238,68.35
Anacortes,0,330,71.32994923857868
Anderson Island,0,291,74.4
Ariel,0,238,41.142857142857146
Arlington,0,322,70.58008658008659
Artondale,0,238,119.0
Ashford,0,322,80.66666666666667
Asotin,0,322,98.44444444444444
Auburn,0,337,61.20143415906128
Bainbridge Island,0,330,72.82407407407408
Baring,0,215,109.25
Battle Ground,0,337,68.20390455531454
Bay Center,25,25,25.0
Beaux Arts,0,259,61.84444444444444
Beaver,38,38,38.0
Belfair,0,337,75.58695652173913
Bell Hill,0,0,0.0
Bellevue,0,337,75.5433220338983
Bellingham,0,330,74.08251231527093
Benton City,0,322,91.33962264150944
Bingen,0,238,79.33333333333333
Black Diamond,0,337,57.41233766233766
Blaine,0,330,73.07440476190476
Bonney Lake,0,322,63.65592783505155
Bothell,0,337,63.548814959773864
Bow,0,330,82.89887640449439
Bremerton,0,330,64.79836233367452
Brewster,0,289,80.25
Bridgeport,0,0,0.0
Bridgeport Bar,220,220,220.0
Brier,0,330,81.02890173410404
Brinnon,0,322,66.10526315789474
Brush Prairie,0,330,75.15481171548117
Buckley,0,322,61.382198952879584
Bucoda,75,75,75.0
Burbank,0,238,70.22222222222223
Burien,0,330,72.3419540229885
Burlington,0,322,58.54744525547445
Bz Corner,0,238,90.66666666666667
Camano Island,0,330,79.87032418952619
Camas,0,337,70.35581395348837
Carbonado,0,266,131.25
Carlton,0,38,10.166666666666666
Carnation,0,337,69.20792079207921
Carson,0,238,66.05882352941177
Cashmere,0,259,69.01754385964912
Castle Rock,0,293,78.60317460317461
Cathlamet,0,322,60.432432432432435
Centerville,238,238,238.0
Centralia,0,330,62.14673913043478
Chattaroy,0,337,96.33333333333333
Chehalis,0,330,71.99411764705883
Chelan,0,322,84.2
Cheney,0,322,76.2
Chewelah,0,220,56.1578947368421
Chimacum,0,289,48.607142857142854
Chinook,25,215,94.0
Cinebar,0,38,19.666666666666668
Clallam Bay,93,93,93.0
Clarkston,0,330,59.1
Clayton,30,72,46.666666666666664
Cle Elum,0,330,85.22699386503068
Clearlake,19,220,104.66666666666667
Clinton,0,330,87.34444444444445
Clyde Hill,0,330,95.26148409893993
Colbert,0,322,80.97647058823529
Colfax,0,238,77.63157894736842
College Place,0,291,67.85714285714286
Colton,0,0,0.0
Colville,0,259,49.4
Concrete,0,308,85.82142857142857
Connell,0,259,81.14285714285714
Copalis Beach,215,215,215.0
Copalis Crossing,84,84,84.0
Cosmopolis,0,291,35.8
Cougar,0,14,7.0
Coulee City,0,215,48.22222222222222
Coulee Dam,0,220,80.33333333333333
Coupeville,0,337,86.37113402061856
Covington,0,330,65.36923076923077
Cowiche,0,220,68.25
Curlew,0,215,41.0
Curtis,19,215,85.8
Cusick,26,42,33.333333333333336
Custer,0,289,85.24
Dallesport,6,238,119.5
Danville,215,215,215.0
Darrington,0,259,126.11111111111111
Davenport,0,53,23.25
Dayton,0,249,58.9375
Deer Harbor,238,238,238.0
Deer Meadows,38,291,164.5
Deer Park,0,322,80.87931034482759
Deming,0,238,67.52
Des Moines,0,322,58.45812807881774
Dryden,0,0,0.0
Dupont,0,322,56.94230769230769
Duvall,0,322,76.12317327766179
East Wenatchee,0,330,78.27570093457943
Easton,0,330,107.84210526315789
Eastsound,0,291,88.24
Eatonville,0,322,55.18556701030928
Edgewood,0,322,58.12096774193548
Edmonds,0,337,71.87955729166667
Edwall,19,220,96.25
Elbe,0,0,0.0
Electric City,0,289,85.75
Elk,0,238,96.5909090909091
Ellensburg,0,322,67.27433628318585
Elma,0,322,69.70588235294117
Eltopia,0,38,19.5
Endicott,26,84,55.0
Entiat,0,322,101.68181818181819
Enumclaw,0,322,70.88764044943821
Ephrata,0,308,56.19607843137255
Ethel,0,215,63.857142857142854
Evans,0,215,68.2
Everett,0,330,62.0510572460031
Everson,0,330,80.31884057971014
Fairchild Air Force Base,0,220,78.83333333333333
Fall City,0,322,90.00510204081633
Federal Way,0,330,59.70324846356453
Ferndale,0,322,67.21678321678321
Fife,0,330,60.17948717948718
Fircrest,0,330,61.398148148148145
Ford,38,238,165.33333333333334
Forks,0,239,103.25
Fox Island,0,330,70.525
Frances,25,291,158.0
Freeland,0,293,78.07926829268293
Friday Harbor,0,330,92.49616368286445
Fruitland,238,238,238.0
Garfield,0,32,19.0
Gifford,84,84,84.0
Gig Harbor,0,337,73.33519553072625
Glacier,0,266,43.46153846153846
Glenoma,47,215,131.0
Glenwood,0,19,9.5
Gold Bar,0,322,88.88
Goldendale,0,322,67.59375
Graham,0,322,70.77165354330708
Grand Coulee,47,72,63.666666666666664
Grandview,0,330,112.15789473684211
Granger,0,266,89.5
Granite Falls,0,322,67.47727272727273
Grapeview,0,330,67.90196078431373
Grayland,0,238,49.57142857142857
Grays River,259,259,259.0
Greenacres,0,308,60.53846153846154
Greenbank,0,330,75.17857142857143
Hamilton,0,0,0.0
Hansville,0,322,64.21052631578948
Harrington,0,238,100.0
Hartline,0,0,0.0
Hatton,266,266,266.0
Hoodsport,0,289,108.3076923076923
Hoquiam,0,259,65.56862745098039
Hunters,42,322,182.0
Hunts Point,0,330,124.24489795918367
Husum,0,330,113.28571428571429
Ilwaco,0,238,64.5
Inchelium,0,215,107.5
Incorporated,0,0,0.0
Index,0,0,0.0
Indianola,0,291,80.09803921568627
Ione,26,26,26.0
Issaquah,0,337,76.20864913062863
Joint Base Lewis Mcchord,0,238,36.05714285714286
Kalama,0,322,68.01052631578948
Kapowsin,19,107,63.0
Keller,0,0,0.0
Kelso,0,330,85.3739837398374
Kenmore,0,330,76.6375442739079
Kenn,0,0,0.0
Kennewick,0,330,73.53586497890295
Kent,0,337,58.59285714285714
Kettle Falls,0,291,107.81818181818181
Keyport,0,238,72.88888888888889
Kingston,0,330,82.06167400881057
Kirkland,0,337,79.38945005611673
Kittitas,0,107,17.833333333333332
Klickitat,25,25,25.0
La Center,0,322,80.92567567567568
La Conner,0,289,71.6103896103896
Lacey,0,322,64.16532258064517
Lacrosse,0,0,0.0
Lake Forest Park,0,330,74.3407917383821
Lake Stevens,0,337,65.10954773869346
Lake Tapps,0,330,77.13978494623656
Lakebay,0,322,68.60714285714286
Lakeview,21,21,21.0
Lakewood,0,337,63.88294314381271
Lamont,25,25,25.0
Langley,0,330,87.11627906976744
Latah,210,210,210.0
Leavenworth,0,322,84.73
Lebam,0,0,0.0
Liberty Lake,0,322,52.65714285714286
Lilliwaup,0,249,138.625
Lincoln,0,21,7.0
Lind,0,32,16.0
Long Beach,0,238,82.75862068965517
Longbranch,0,322,68.35714285714286
Longview,0,337,66.07986111111111
Loon Lake,0,259,76.33333333333333
Lopez Is,25,84,54.5
Lopez Island,0,322,83.07476635514018
Lummi Island,0,322,77.8157894736842
Lyle,0,259,59.111111111111114
Lyman,38,38,38.0
Lynden,0,322,63.245810055865924
Lynnwood,0,330,58.334143968871594
Mabton,0,322,115.42857142857143
Malaga,0,322,120.45
Malott,73,73,73.0
Mansfield,0,0,0.0
Manson,0,308,89.58333333333333
Maple Falls,0,238,76.82608695652173
Maple Valley,0,337,62.95272727272727
Marblemount,32,42,37.0
Marlin,0,215,71.66666666666667
Maryhill,42,42,42.0
Marysville,0,330,67.80088495575221
Mattawa,0,322,85.6
Mazama,0,330,98.52631578947368
McCleary,21,21,21.0
Mcchord Afb,25,25,25.0
Mccleary,0,238,39.583333333333336
Mead,0,291,76.81632653061224
Medical Lake,0,322,70.68627450980392
Medina,0,330,104.93493150684931
Menlo,0,42,26.2
Mercer Island,0,337,85.88910989557434
Mesa,0,215,59.166666666666664
Methow,238,238,238.0
Mica,0,270,98.25
Mill Creek,0,322,63.80705009276438
Milton,0,322,57.25
Mineral,0,308,70.375
Moclips,0,150,74.0
Monroe,0,322,61.73026315789474
Montesano,0,270,55.10144927536232
Morton,0,215,83.21428571428571
Moses Lake,0,322,74.43497757847534
Mossyrock,0,322,120.1
Mount Vernon,0,330,80.37837837837837
Mountlake Terrace,0,337,55.90277777777778
Moxee,0,322,73.4074074074074
Mukilteo,0,330,69.33543307086615
Murdock,0,21,13.666666666666666
Naches,0,265,67.65
Nahcotta,0,22,7.333333333333333
Napavine,25,38,29.333333333333332
Naselle,0,330,109.0
Neah Bay,0,215,38.888888888888886
Nespelem,150,150,150.0
Newcastle,0,337,72.93766578249337
Newman Lake,0,291,56.61290322580645
Newport,0,322,75.51428571428572
Nine Mile Falls,0,322,70.94059405940594
Nooksack,0,238,132.4
Nordland,0,322,106.91304347826087
Normandy Park,0,322,80.67768595041322
North Bend,0,330,70.13103448275862
North Bonneville,0,239,158.75
North Cove,0,38,13.0
Oak Harbor,0,337,61.12271540469974
Oakville,0,291,84.88235294117646
Ocean Park,0,259,64.25
Ocean Shores,0,322,53.607142857142854
Odessa,0,38,12.666666666666666
Okanogan,0,238,87.6
Olalla,0,308,52.39506172839506
Olga,0,259,97.84375
Olympia,0,337,74.26148409893993
Omak,0,308,52.0625
Onalaska,0,239,67.84615384615384
Orcas,0,0,0.0
Orcas Is,0,259,89.3
Orchards,53,53,53.0
Orondo,0,330,66.4423076923077
Oroville,0,238,98.38461538461539
Orting,0,322,72.93388429752066
Othello,0,322,70.81818181818181
Otis Orchards,0,239,66.93333333333334
Outlook,21,291,153.4
Oysterville,0,259,55.666666666666664
Pacific,0,322,78.05555555555556
Pacific Beach,0,322,101.05
Packwood,0,259,57.5
Palisades,0,0,0.0
Palouse,0,238,95.38461538461539
Parkland,0,293,62.816901408450704
Pasco,0,330,74.85906040268456
Pateros,0,111,38.6
Pe Ell,215,215,215.0
Peshastin,0,238,94.875
Plymouth,53,53,53.0
Point Roberts,0,322,98.44897959183673
Pomeroy,19,42,26.666666666666668
Port Angeles,0,330,66.19714285714285
Port Gamble,19,19,19.0
Port Hadlock,0,259,83.64102564102564
Port Ludlow,0,308,70.66949152542372
Port Orchard,0,330,68.28931572629051
Port Townsend,0,330,80.89010989010988
Poulsbo,0,337,71.76460176991151
Preston,0,291,87.28571428571429
Pros,0,0,0.0
Prosser,0,322,68.64444444444445
Pullman,0,322,60.33846153846154
Puyallup,0,330,63.79692307692308
Quilcene,0,337,89.65853658536585
Quinault,0,0,0.0
Quincy,0,337,84.23170731707317
Rainier,0,291,86.76086956521739
Randle,19,265,133.83333333333334
Ravensdale,0,322,75.72602739726027
Raymond,0,259,63.875
Reardan,0,238,73.5
Redmond,0,337,73.88465204957102
Renton,0,330,63.84561965811966
Republic,0,330,104.57142857142857
Rice,0,239,82.5
Rich,0,0,0.0
Richland,0,330,68.69736842105263
Ridgefield,0,322,65.85352862849534
Ritzville,0,259,95.5625
Riverside,0,220,114.0
Rochester,0,289,62.87755102040816
Rock Island,0,151,65.16666666666667
Rockford,0,19,4.75
Rockport,21,21,21.0
Ronald,0,322,129.65384615384616
Roosevelt,0,28,14.0
Rosalia,0,215,41.44444444444444
Rosburg,0,0,0.0
Roslyn,0,238,50.05882352941177
Roy,0,322,78.10185185185185
Royal City,0,220,46.8
Ruston,0,291,67.3529411764706
Salkum,0,0,0.0
Sammamish,0,337,76.0466777804239
Satsop,0,322,161.0
Seabeck,0,322,69.4
Seatac,0,322,20.034203420342035
Seattle,0,337,73.75727840402239
Seaview,0,266,95.42857142857143
Sedro Woolley,0,322,54.21739130434783
Sedro-Woolley,0,322,85.13103448275862
Sekiu,0,322,186.66666666666666
Selah,0,330,81.64935064935065
Sequim,0,322,69.64796905222437
Seven Bays,19,19,19.0
Shaw Island,0,238,77.15384615384616
Shelton,0,330,75.75449101796407
Shoreline,0,337,70.96458467482293
Silver Creek,0,215,39.5
Silverdale,0,330,80.24820143884892
Silverlake,0,322,85.38461538461539
Skamokawa,0,322,159.5
Skykomish,0,220,62.0
Snohomish,0,337,75.41461953265429
Snoqualmie,0,337,70.43128654970761
Snoqualmie Pass,0,215,49.26086956521739
Snowden,0,42,16.46153846153846
Soap Lake,0,238,34.9375
South Bend,0,220,91.0
South Cle Elum,18,238,103.0
South Hill,0,330,61.287581699346404
South Prairie,0,30,15.0
Spanaway,0,330,70.50636942675159
Spangle,0,200,45.4
Spokane,0,337,67.51107967939652
Spokane Valley,0,337,56.872093023255815
Sprague,38,38,38.0
Springdale,0,238,92.0
St John,0,0,0.0
Stanwood,0,330,74.4
Steilacoom,0,330,85.93197278911565
Stevenson,0,322,80.28
Stratford,0,0,0.0
Sultan,0,293,64.7741935483871
Sumas,0,238,51.75
Sumner,0,322,44.65972222222222
Sunnyside,0,322,47.36585365853659
Suquamish,0,291,92.31147540983606
Surfside,0,239,73.83333333333333
Tacoma,0,330,65.8655462184874
Taholah,0,220,80.33333333333333
Tahuya,0,337,74.22222222222223
Tekoa,0,38,19.666666666666668
Tenino,0,308,75.0
Thorp,0,215,91.25
Tieton,0,220,89.5
Tokeland,32,291,156.2
Toledo,0,322,120.33333333333333
Tonasket,0,220,74.26666666666667
Toppenish,0,330,132.2
Touchet,0,93,28.0
Toutle,0,72,22.2
Trout Lake,0,322,100.95238095238095
Tukwila,0,337,24.1993006993007
Tulalip,0,291,94.6
Tumtum,0,0,0.0
Tumwater,0,322,75.78998073217727
Twisp,0,291,72.37837837837837
Underwood,0,291,51.84615384615385
Union,0,210,29.176470588235293
Union Gap,0,87,26.6
Uniontown,0,0,0.0
University Place,0,330,71.40917107583775
Usk,21,322,171.5
Vader,0,53,29.714285714285715
Valley,0,249,71.875
Valleyford,0,291,65.6
Vancouver,0,337,65.99484638255699
Vashon,0,330,83.63119266055045
Vaughn,0,322,129.2173913043478
Veradale,0,270,72.18604651162791
Wahkiacus,22,53,37.5
Waitsburg,0,291,103.4
Waldron,73,75,74.0
Walla Walla,0,337,71.75090252707581
Walla Walla Co,22,22,22.0
Wapato,0,220,58.5
Warden,0,32,12.75
Washougal,0,330,72.21757322175732
Waterville,0,238,149.25
Waverly,73,73,73.0
Wenatchee,0,330,76.8936170212766
West Richland,0,337,77.60773480662984
Westport,0,330,85.78947368421052
White Salmon,0,322,75.85454545454546
White Swan,19,25,22.0
Wilbur,0,238,59.8
Wilkeson,0,25,9.25
Winlock,0,330,85.67307692307692
Winthrop,0,330,60.90163934426229
Wishram,25,322,173.5
Woodinville,0,330,83.46370143149284
Woodland,0,337,74.31654676258992
Woodway,0,293,92.27272727272727
Yacolt,0,289,52.810810810810814
Yakima,0,330,65.69216061185469
Yarrow Point,0,330,101.50746268656717
Yelm,0,322,64.69339622641509
Zillah,0,289,59.041666666666664
